delta,rho,ISTA,FISTA,AMP,VAMP,OAMP,KAMP
0.2,0.02,0.0,0.0,0.0,0.5,0.75,1.0
0.2,0.08,0.0,0.0,0.0,0.0,0.0,0.25
0.2,0.14,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.26,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.32,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.38,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.44,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.288,0.02,0.0,0.25,0.0,1.0,1.0,1.0
0.288,0.08,0.0,0.0,0.0,1.0,1.0,0.5
0.288,0.14,0.0,0.0,0.0,0.25,0.25,0.0
0.288,0.2,0.0,0.0,0.0,0.0,0.0,0.0
0.288,0.26,0.0,0.0,0.0,0.0,0.0,0.0
0.288,0.32,0.0,0.0,0.0,0.0,0.0,0.0
0.288,0.38,0.0,0.0,0.0,0.0,0.0,0.0
0.288,0.44,0.0,0.0,0.0,0.0,0.0,0.0
0.288,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.375,0.02,0.0,0.25,0.0,1.0,0.75,1.0
0.375,0.08,0.0,0.0,0.0,0.75,0.75,1.0
0.375,0.14,0.0,0.0,0.0,0.75,0.75,0.5
0.375,0.2,0.0,0.0,0.0,0.25,0.25,0.25
0.375,0.26,0.0,0.0,0.0,0.0,0.0,0.0
0.375,0.32,0.0,0.0,0.0,0.0,0.0,0.0
0.375,0.38,0.0,0.0,0.0,0.0,0.0,0.0
0.375,0.44,0.0,0.0,0.0,0.0,0.0,0.0
0.375,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.462,0.02,0.0,0.25,0.0,1.0,0.75,1.0
0.462,0.08,0.0,0.0,0.0,1.0,1.0,1.0
0.462,0.14,0.0,0.0,0.0,1.0,1.0,0.75
0.462,0.2,0.0,0.0,0.0,1.0,1.0,0.25
0.462,0.26,0.0,0.0,0.0,0.0,0.0,0.0
0.462,0.32,0.0,0.0,0.0,0.0,0.0,0.0
0.462,0.38,0.0,0.0,0.0,0.0,0.0,0.0
0.462,0.44,0.0,0.0,0.0,0.0,0.0,0.0
0.462,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.02,0.0,0.5,0.0,1.0,1.0,1.0
0.55,0.08,0.0,0.0,0.0,1.0,1.0,1.0
0.55,0.14,0.0,0.0,0.0,1.0,1.0,1.0
0.55,0.2,0.0,0.0,0.0,0.75,0.75,0.5
0.55,0.26,0.0,0.0,0.0,1.0,1.0,0.25
0.55,0.32,0.0,0.0,0.0,0.5,0.5,0.0
0.55,0.38,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.44,0.0,0.0,0.0,0.0,0.0,0.0
0.55,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.638,0.02,0.0,1.0,0.0,1.0,0.75,1.0
0.638,0.08,0.0,0.25,0.0,1.0,1.0,1.0
0.638,0.14,0.0,0.0,0.0,1.0,1.0,1.0
0.638,0.2,0.0,0.25,0.0,1.0,1.0,1.0
0.638,0.26,0.0,0.0,0.0,1.0,1.0,0.75
0.638,0.32,0.0,0.0,0.0,0.75,0.75,0.75
0.638,0.38,0.0,0.0,0.0,0.25,0.25,0.0
0.638,0.44,0.0,0.0,0.0,0.0,0.0,0.0
0.638,0.5,0.0,0.0,0.0,0.0,0.0,0.0
0.725,0.02,0.0,1.0,0.0,1.0,1.0,1.0
0.725,0.08,0.0,0.75,0.0,1.0,1.0,1.0
0.725,0.14,0.0,0.75,0.0,1.0,1.0,1.0
0.725,0.2,0.0,0.5,0.0,1.0,1.0,1.0
0.725,0.26,0.0,0.5,0.0,1.0,1.0,1.0
0.725,0.32,0.0,0.0,0.0,1.0,1.0,1.0
0.725,0.38,0.0,0.0,0.0,0.75,0.75,0.5
0.725,0.44,0.0,0.0,0.0,1.0,1.0,0.25
0.725,0.5,0.0,0.0,0.0,0.25,0.25,0.0
0.812,0.02,0.0,1.0,0.0,1.0,0.75,1.0
0.812,0.08,0.0,1.0,0.0,1.0,1.0,1.0
0.812,0.14,0.0,1.0,0.0,1.0,1.0,1.0
0.812,0.2,0.0,1.0,0.0,1.0,1.0,1.0
0.812,0.26,0.0,0.75,0.0,1.0,1.0,1.0
0.812,0.32,0.0,0.75,0.0,1.0,1.0,1.0
0.812,0.38,0.0,0.5,0.0,1.0,1.0,0.75
0.812,0.44,0.0,0.5,0.0,1.0,1.0,0.75
0.812,0.5,0.0,0.5,0.0,0.75,0.75,0.5
0.9,0.02,0.0,1.0,0.0,1.0,1.0,1.0
0.9,0.08,0.0,1.0,0.0,1.0,1.0,1.0
0.9,0.14,0.0,1.0,0.0,1.0,1.0,1.0
0.9,0.2,0.0,1.0,0.0,1.0,1.0,1.0
0.9,0.26,0.0,1.0,0.0,1.0,1.0,1.0
0.9,0.32,0.0,1.0,0.0,1.0,1.0,1.0
0.9,0.38,0.0,1.0,0.0,1.0,1.0,1.0
0.9,0.44,0.0,1.0,0.0,1.0,1.0,1.0
0.9,0.5,0.0,0.5,0.0,1.0,1.0,1.0
