pair,raw_p,holm_p_six_solver_family
ISTA vs FISTA,7.143875795425793e-41,1.071581369313869e-39
ISTA vs AMP,7.143875795425793e-41,1.071581369313869e-39
ISTA vs VAMP,7.143875795425793e-41,1.071581369313869e-39
ISTA vs OAMP,7.143875795425793e-41,1.071581369313869e-39
ISTA vs KAMP,7.143875795425793e-41,1.071581369313869e-39
FISTA vs AMP,7.143875795425793e-41,1.071581369313869e-39
FISTA vs VAMP,2.6632666007028784e-15,7.989799802108635e-15
FISTA vs OAMP,2.8695535006497248e-15,7.989799802108635e-15
FISTA vs KAMP,2.545069380519841e-25,1.0180277522079364e-24
AMP vs VAMP,7.143875795425793e-41,1.071581369313869e-39
AMP vs OAMP,7.143875795425793e-41,1.071581369313869e-39
AMP vs KAMP,7.143875795425793e-41,1.071581369313869e-39
VAMP vs OAMP,0.9873892254944111,0.9873892254944111
VAMP vs KAMP,9.329476295018613e-37,5.597685777011167e-36
OAMP vs KAMP,9.553156905688352e-37,5.597685777011167e-36
