noise,solver,nmse_mean,nmse_sem,nmse_median,nan_frac
gaussian,ISTA,0.23711402919311628,0.025460782464767816,0.22033832818037352,0.0
student-t df=5,ISTA,0.24535978908792097,0.026165708292288065,0.20119219487961454,0.0
student-t df=3,ISTA,0.24015293899941179,0.018880762315435295,0.2321713853464374,0.0
cauchy,ISTA,0.21408930191569633,0.01720094969327388,0.1986054613711618,0.0
gaussian,FISTA,0.002359414503072892,0.0003117976145658946,0.0025187830185693302,0.0
student-t df=5,FISTA,0.002469225182821505,0.00024614057423214783,0.002415272487865745,0.0
student-t df=3,FISTA,0.0027717581829216215,0.00026928130706060525,0.00296189136290093,0.0
cauchy,FISTA,0.0018059742287089876,0.00034751732744025816,0.0018360858046735048,0.0
gaussian,AMP,998778.7208964706,541088.3205917194,116126.75906831109,0.0
student-t df=5,AMP,5017985.009884646,4301576.974399934,69930.8140766932,0.0
student-t df=3,AMP,1146190.5180388715,645347.2828796888,78051.23627029941,0.0
cauchy,AMP,1000049.9144946398,460396.69229909685,255635.521537453,0.0
gaussian,VAMP,0.003948693163773174,0.0003714754295894295,0.003874215188301237,0.0
student-t df=5,VAMP,0.003929737669609689,0.0005111824437605041,0.0032839332755497143,0.0
student-t df=3,VAMP,0.0048004175365355915,0.0005694331527582437,0.005156582335936265,0.0
cauchy,VAMP,0.0025301331099379094,0.00039332520410427404,0.0028610052416112725,0.0
gaussian,OAMP,0.003948691240577166,0.0003714748554284243,0.0038742145222554294,0.0
student-t df=5,OAMP,0.003971090932290392,0.0004994748504766928,0.0032839332880393876,0.0
student-t df=3,OAMP,0.004800413365914191,0.0005694328958938017,0.005156561567700348,0.0
cauchy,OAMP,0.0025408421111050724,0.0003961025121733737,0.002861005338185312,0.0
gaussian,KAMP,0.0012388522836833888,7.828624818243122e-05,0.001253154480639279,0.0
student-t df=5,KAMP,0.0017114400858474043,0.00016805047292008975,0.0015789303572837222,0.0
student-t df=3,KAMP,0.0013367007377020257,0.00021179736301512868,0.0011516761971491819,0.0
cauchy,KAMP,0.0012302513143376394,0.00011645936331503882,0.0013044032769271036,0.0
