noise_spec,solver,nmse_mean,nmse_sem,nmse_median,nan_frac
white,ISTA,0.2251865061549922,0.025882412562997458,0.1924084269598812,0.0
mild AR(0.5),ISTA,0.2407382329038718,0.019786100013472353,0.2450986078298537,0.0
strong AR(0.9),ISTA,0.23550692387907265,0.02589633772465501,0.22008577301257662,0.0
white,FISTA,0.0025218206971653655,0.00024174129487077609,0.0026133098430202286,0.0
mild AR(0.5),FISTA,0.001998277664855171,0.00020633528232786715,0.0019216896036403407,0.0
strong AR(0.9),FISTA,0.0030731186663071576,0.00041851620954644916,0.002809529610501676,0.0
white,AMP,2925597.8678564983,1458591.969337658,271426.0436602589,0.0
mild AR(0.5),AMP,1219534.7221422887,550381.3734717027,182994.67813881108,0.0
strong AR(0.9),AMP,1493384.180867401,619789.5952902657,573157.6149411754,0.0
white,VAMP,0.004166029141495173,0.0004734471277276801,0.003715297667904633,0.0
mild AR(0.5),VAMP,0.0026866523383230947,0.00028406867139717365,0.0026495313913245597,0.0
strong AR(0.9),VAMP,0.004548847603295942,0.0005464625897742231,0.0045812794233025065,0.0
white,OAMP,0.004161558602653615,0.0004713279119473367,0.0037152983340191697,0.0
mild AR(0.5),OAMP,0.0026878143671258056,0.00028399509836867225,0.0026555809543519267,0.0
strong AR(0.9),OAMP,0.0045488369897496795,0.0005464691220046689,0.004581338266936964,0.0
white,KAMP,0.0018505756967974363,0.0001626780587178389,0.001989993357669525,0.0
mild AR(0.5),KAMP,0.0013193478457540612,9.65610579509704e-05,0.0013689991749761604,0.0
strong AR(0.9),KAMP,0.001101444121633397,0.0001107088709882335,0.0010371275125463032,0.0
