trial,lag_kamp,lag_fista,trans_kamp,trans_fista,fpr_kamp,fpr_fista
0,1.0,1.0,0.03596716489066177,0.048106282053525816,0.14166666666666666,0.6916666666666667
1,1.0,1.0,0.027230953213486935,0.035357666972217545,0.15,0.65
2,1.0,1.0,0.03433962945409039,0.045817270540410494,0.14833333333333334,0.7416666666666667
3,1.3333333333333333,1.0,0.036506754748819016,0.04719703822621355,0.12,0.7125
4,1.0,1.0,0.037130418137297505,0.05115171392974679,0.14416666666666667,0.6958333333333333
5,1.0,1.0,0.04179022651287843,0.05291441085745252,0.14833333333333334,0.7208333333333333
6,1.0,1.0,0.033058246733906164,0.04216975634900159,0.13833333333333334,0.7041666666666667
7,1.0,1.0,0.03642068562753037,0.04907359610262662,0.12416666666666666,0.6916666666666667
8,1.0,1.0,0.03289078572112555,0.044895670615725934,0.14666666666666667,0.7083333333333334
9,1.0,1.0,0.023980561394598938,0.030830937367871177,0.14583333333333334,0.6625
