cluster_spec,solver,nmse_mean,nmse_sem,nmse_median
iid,ISTA,0.2247795281211556,0.01721845459534669,0.22492878158193455
2 clusters,ISTA,0.2429750055090989,0.014257219558176657,0.24304290302568152
4 clusters,ISTA,0.2523751941605753,0.022485422287962596,0.24808611030453753
iid,FISTA,0.002999830123293105,0.00029267958163450245,0.0032371312616579946
2 clusters,FISTA,0.004504037483913391,0.0009652054160249625,0.0038410533475595
4 clusters,FISTA,0.0032291096602081967,0.0005130392603608049,0.0025835280139978553
iid,AMP,318409.3305602368,144702.9188132374,46941.918350475884
2 clusters,AMP,1120776.7049243178,594854.4039587032,56791.09773128269
4 clusters,AMP,491385.994758637,288974.6477748105,55273.504715599316
iid,VAMP,0.0053385937873725985,0.0006953169828787731,0.004859610645126935
2 clusters,VAMP,0.004765103348817615,0.00039309655128345287,0.005049119718676023
4 clusters,VAMP,0.005251839309884599,0.0008166828886995621,0.004435469004329467
iid,OAMP,0.005360322474874503,0.0007112812642564929,0.004859608230486425
2 clusters,OAMP,0.004778390251330198,0.0003952239150013297,0.005130177792818515
4 clusters,OAMP,0.0052534670317370465,0.0008164679063054452,0.004435468275689046
iid,KAMP,0.002129966238489847,0.00024814946751689057,0.0018042415523420953
2 clusters,KAMP,0.002224018372651044,0.00018161101811431764,0.002212834721440355
4 clusters,KAMP,0.0024798169070314796,0.0004539024300780288,0.00202587836766477
